name,type,muscle,difficulty,instructions,equipments,safety_info
Landmine twist,strength,abdominals,intermediate,"Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight. Raise the bar from the floor, taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position. Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise. Reverse the motion to swing the weight all the way to the opposite side. Continue alternating the movement until the set is complete.","['barbell', 'landmine attachment', 'weight plates']","Securely anchor the bar (or use a landmine attachment) and load an appropriate weight. Use a wide stance for stability, keep your arms extended, and rotate through the hips and trunk—avoid twisting from the lower back."
Elbow plank,strength,abdominals,intermediate,"Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder. Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.",[],"Place forearms directly under shoulders and keep a straight line from head to heels; avoid letting hips sag or pike. Engage core and glutes, breathe steadily, and stop if you feel shoulder or low‑back pain. If raising an arm or leg, keep hips level and avoid trunk rotation."
Bottoms Up,strength,abdominals,intermediate,"Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position. To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor. After a brief pause, return to the starting position.",[],Perform reps slowly and under control without swinging. Brace your core and keep your lower back pressed to the floor to avoid hyperextension when lifting your legs and pelvis. Raise and lower the hips gently without pushing with the arms or straining the neck. Breathe steadily and stop if you feel lower‑back pain.
Suspended ab fall-out,strength,abdominals,intermediate,"Adjust the straps so the handles are at an appropriate height, below waist level. Begin standing and grasping the handles. Lean into the straps, moving to an incline push-up position. This will be your starting position. Keeping your arms straight, lean further into the suspension straps, bringing your body closer to the ground, allowing your shoulders to extend, raising your arms up and over your head. Maintain a neutral spine and keep the rest of your body straight, your shoulders being the only joints allowed to move. Pause during the peak contraction, and then return to the starting position.",['suspension straps'],Set the suspension straps below waist height and brace your core; keep a neutral spine and straight body with elbows locked so only the shoulders move. Control the descent and stay within a comfortable range; avoid letting the hips sag or the low back overextend—reduce the angle/raise the straps if you can’t maintain form or if you feel shoulder pain.
Standing cable low-to-high twist,strength,abdominals,intermediate,"Connect a standard handle on a tower, and move the cable to the lowest pulley position. With your side to the cable, grab the handle with one hand and step away from the tower. You should be approximately armâ€™s length away from the pulley, with the tension of the weight on the cable. Your outstretched arm should be aligned with the cable. With your feet positioned shoulder width apart, squat down and grab the handle with both hands. Your arms should still be fully extended. In one motion, pull the handle up and across your body until your arms are in a fully-extended position above your head. Keep your back straight and your arms close to your body as you pivot your back foot and straighten your legs to get a full range of motion. Retract your arms and then your body. Return to the neutral position in a slow and controlled manner. Repeat to failure. Then, reposition and repeat the same series of movements on the opposite side.  Tip: You will twist your entire body with this exercise, but focus on getting maximal torso rotation and a strong clinch at the end of the movement. To ensure a good mind-muscle connection, keep your abs tense at all times.","['cable machine', 'standard handle']","Keep your back straight, brace your core, pivot the back foot to allow safe torso rotation, keep arms close, and move in a slow, controlled path. Ensure the cable is under tension before starting and use a manageable load to avoid jerking."
Dumbbell spell caster,strength,abdominals,beginner,"Hold a dumbbell in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position. Begin the movement by pulling both of the dumbbells to one side next to your hip, rotating your torso. Keeping your arms straight and the dumbbells parallel to the ground, rotate your torso to swing the weights to your opposite side. Continue alternating, rotating from one side to the other until the set is complete.",['dumbbells'],"Start with light dumbbells and keep the movement controlled. Brace your core, maintain a neutral spine, and rotate through the torso/hips while keeping arms straight and the weights parallel to the floor. Avoid jerking or excessive swinging and don’t twist through the knees; stop if you feel back pain."
Spider crawl,strength,abdominals,intermediate,"Begin in a prone position on the floor. Support your weight on your hands and toes, with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position. Initiate the movement by raising one foot off of the ground. Externally rotate the leg and bring the knee toward your elbow, as far forward as possible. Return this leg to the starting position and repeat on the opposite side.",[],"Maintain a straight body line with core engaged; avoid letting hips sag or rotating the torso. Keep shoulders and wrists aligned and elbows near 90°, moving the knee under control. Use a non-slip surface, and stop if you feel pain in the shoulders, wrists, or lower back."
Cocoons,strength,abdominals,intermediate,"Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position. To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion. After a brief pause, return to the starting position.",[],"Keep your lower back gently pressed into the floor and move in a controlled, smooth motion—avoid jerking or using momentum. Maintain a neutral head/neck position, control the tuck and crunch, and stop if you feel low‑back pain. Exhale as you curl up and inhale on the return."
Cross-Body Crunch,strength,abdominals,intermediate,Lie flat on your back and bend your knees about 60 degrees. Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position. Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. Tip: Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow. Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee. Continue alternating in this manner until all prescribed repetitions are done.  Variation: You can also do all of your repetitions for one side and then switch to the other side.,[],Keep hands loosely behind your head and avoid pulling on your neck; lift the shoulder toward the opposite knee (don’t just move the elbow). Exhale on the curl and perform reps in a controlled manner.
Elbow-to-knee crunch,strength,abdominals,intermediate,"Lie on the floor, crossing your right leg across your bent left knee. Clasp your hands behind your head, beginning with your shoulder blades on the ground. This will be your starting position. Perform the motion by flexing the spine and rotating your torso to bring the left elbow to the right knee. Return to the starting position and repeat the movement for the desired number of repetitions before switching sides.",[],"Perform controlled reps without pulling on your head or neck; keep your lower back pressed to the floor, engage your core, and avoid excessive twisting. Breathe throughout and stop if you feel neck or low-back pain."
