engagement_id,member_id,record_date,check_ins_count,app_logins_count,classes_attended,trainer_sessions,engagement_score,last_visit_date,at_risk_flag,churn_probability
ENG00000001,MEM000958,2024-08-03,25,28,6,1,100.0,2024-07-12,No,0.0
ENG00000002,MEM001554,2024-09-24,9,16,9,4,100.0,2024-08-27,No,0.0
ENG00000003,MEM001118,2024-03-16,10,20,5,2,75.0,2024-02-28,No,0.25
ENG00000004,MEM000972,2024-03-19,15,5,8,5,100.0,2024-03-19,No,0.0
ENG00000005,MEM000668,2024-03-11,1,36,0,6,80.0,2024-02-28,No,0.2
ENG00000006,MEM000937,2024-03-21,23,32,10,6,100.0,2024-03-04,No,0.0
ENG00000007,MEM001793,2024-08-10,13,9,13,8,100.0,2024-07-23,No,0.0
ENG00000008,MEM001558,2024-05-25,30,13,11,3,100.0,2024-04-30,No,0.0
ENG00000009,MEM001846,2024-05-20,26,3,8,4,100.0,2024-05-15,No,0.0
ENG00000010,MEM000067,2024-04-21,26,12,1,2,83.0,2024-03-29,No,0.17
ENG00000011,MEM002108,2024-12-13,21,37,10,6,100.0,2024-11-28,No,0.0
ENG00000012,MEM001198,2024-06-01,18,45,8,3,100.0,2024-05-08,No,0.0
ENG00000013,MEM000830,2024-02-15,18,21,7,1,91.5,2024-02-11,No,0.09
ENG00000014,MEM001265,2024-07-12,0,47,2,3,63.5,2024-07-05,No,0.36
ENG00000015,MEM001421,2024-05-08,24,3,6,2,99.5,2024-04-24,No,0.01
ENG00000016,MEM001908,2024-11-29,17,38,2,2,83.0,2024-10-31,No,0.17
ENG00000017,MEM000250,2024-05-20,9,28,8,2,92.0,2024-04-22,No,0.08
ENG00000018,MEM001540,2024-06-28,20,41,12,3,100.0,2024-06-12,No,0.0
ENG00000019,MEM002321,2024-05-20,12,13,6,6,100.0,2024-05-09,No,0.0
ENG00000020,MEM000987,2024-02-23,15,2,3,0,46.0,2024-01-24,No,0.54
ENG00000021,MEM001702,2024-07-16,13,43,0,0,47.5,2024-06-16,No,0.53
ENG00000022,MEM001887,2024-04-14,28,15,5,5,100.0,2024-04-05,No,0.0
ENG00000023,MEM000381,2024-03-23,19,9,0,6,100.0,2024-03-15,No,0.0
ENG00000024,MEM001646,2024-04-28,10,37,14,0,100.0,2024-04-19,No,0.0
ENG00000025,MEM001349,2024-03-29,21,12,7,6,100.0,2024-03-08,No,0.0
ENG00000026,MEM001928,2024-06-12,28,13,10,4,100.0,2024-05-22,No,0.0
ENG00000027,MEM000839,2024-04-03,16,7,6,6,100.0,2024-03-29,No,0.0
ENG00000028,MEM002473,2024-08-17,25,45,5,8,100.0,2024-08-10,No,0.0
ENG00000029,MEM002041,2024-07-14,30,26,2,1,93.0,2024-06-22,No,0.07
ENG00000030,MEM001164,2024-04-22,0,27,13,1,88.5,2024-04-10,No,0.12
ENG00000031,MEM001436,2024-11-29,13,49,4,3,100.0,2024-11-22,No,0.0
ENG00000032,MEM001570,2024-03-27,16,9,5,4,100.0,2024-02-27,No,0.0
ENG00000033,MEM001613,2024-06-14,16,8,3,7,100.0,2024-05-26,No,0.0
ENG00000034,MEM000980,2024-10-17,18,22,1,1,62.0,2024-09-18,No,0.38
ENG00000035,MEM000907,2024-06-20,20,13,3,8,100.0,2024-06-08,No,0.0
ENG00000036,MEM000986,2024-04-25,10,43,8,4,100.0,2024-04-01,No,0.0
ENG00000037,MEM002261,2024-03-07,0,13,12,7,100.0,2024-02-20,No,0.0
ENG00000038,MEM001142,2024-04-24,7,41,7,6,100.0,2024-04-16,No,0.0
ENG00000039,MEM001815,2024-09-25,11,5,15,7,100.0,2024-09-25,No,0.0
ENG00000040,MEM002137,2024-01-26,23,36,2,5,100.0,2024-01-10,No,0.0
ENG00000041,MEM001892,2024-11-22,15,20,2,5,100.0,2024-11-15,No,0.0
ENG00000042,MEM001185,2024-10-06,16,49,10,1,100.0,2024-10-06,No,0.0
ENG00000043,MEM001443,2024-03-29,18,11,13,2,100.0,2024-03-02,No,0.0
ENG00000044,MEM000244,2024-01-25,29,38,1,2,100.0,2024-01-23,No,0.0
ENG00000045,MEM002216,2024-03-10,26,17,13,1,100.0,2024-03-02,No,0.0
ENG00000046,MEM000068,2024-08-02,12,48,10,2,100.0,2024-07-14,No,0.0
