nutrition_log_id,member_id,log_date,meal_type,food_id,food_name,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
NL00000001,MEM002045,2024-07-01,Post-Workout,FOOD0054,watermelon,70.0,42.0,0.4,10.5,0.1,1.0,3.2
NL00000002,MEM001557,2024-03-19,Post-Workout,FOOD0030,bagel,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000003,MEM000196,2024-11-07,Post-Workout,FOOD0009,shrimp,170.0,204.0,40.8,0.0,3.4,0.0,0.0
NL00000004,MEM000640,2024-03-30,Dinner,FOOD0035,carrots,240.0,60.0,2.4,12.0,0.5,1.2,3.6
NL00000005,MEM002055,2024-11-02,Lunch,FOOD0019,white rice,130.0,169.0,3.5,36.4,0.4,3.6,10.9
NL00000006,MEM002407,2024-01-21,Snack,FOOD0081,rice cakes,180.0,216.0,5.4,45.0,1.8,4.5,13.5
NL00000007,MEM000623,2024-07-14,Dinner,FOOD0018,cottage cheese,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000008,MEM000810,2024-03-02,Post-Workout,FOOD0010,cod,100.0,120.0,24.0,0.0,2.0,0.0,0.0
NL00000009,MEM001356,2024-05-22,Post-Workout,FOOD0046,banana,220.0,195.8,2.4,50.6,0.7,5.1,15.2
NL00000010,MEM000798,2024-07-12,Dinner,FOOD0023,oatmeal,230.0,156.4,5.5,27.6,3.2,2.8,8.3
NL00000011,MEM001932,2024-09-25,Breakfast,FOOD0037,tomato,70.0,17.5,0.7,3.5,0.1,0.4,1.0
NL00000012,MEM001304,2024-06-20,Lunch,FOOD0018,cottage cheese,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000013,MEM000367,2024-01-04,Dinner,FOOD0011,eggs,80.0,124.0,10.4,0.9,8.8,0.1,0.2
NL00000014,MEM000333,2024-01-18,Snack,FOOD0072,milk,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00000015,MEM000078,2024-09-16,Dinner,FOOD0064,olive oil,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000016,MEM000717,2024-03-08,Lunch,FOOD0011,eggs,230.0,356.5,29.9,2.5,25.3,0.2,0.7
NL00000017,MEM000956,2024-12-01,Lunch,FOOD0061,walnuts,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000018,MEM000910,2024-06-19,Lunch,FOOD0010,cod,210.0,252.0,50.4,0.0,4.2,0.0,0.0
NL00000019,MEM001640,2024-10-15,Post-Workout,FOOD0050,blueberry,280.0,168.0,1.4,42.0,0.6,4.2,12.6
NL00000020,MEM000301,2024-06-30,Post-Workout,FOOD0056,pear,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00000021,MEM000885,2024-05-22,Lunch,FOOD0059,avocado,60.0,96.0,1.2,5.1,9.0,0.5,1.5
NL00000022,MEM001836,2024-04-15,Snack,FOOD0057,kiwi,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00000023,MEM000849,2024-03-05,Dinner,FOOD0017,protein powder,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00000024,MEM000916,2024-02-05,Lunch,FOOD0046,banana,270.0,240.3,3.0,62.1,0.8,6.2,18.6
NL00000025,MEM001754,2024-05-20,Lunch,FOOD0012,egg whites,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00000026,MEM000972,2024-01-24,Lunch,FOOD0028,potato,200.0,172.0,3.2,40.0,0.2,4.0,12.0
NL00000027,MEM001468,2024-03-22,Breakfast,FOOD0009,shrimp,60.0,72.0,14.4,0.0,1.2,0.0,0.0
NL00000028,MEM002000,2024-09-02,Snack,FOOD0006,salmon,100.0,206.0,22.0,0.0,13.0,0.0,0.0
NL00000029,MEM001511,2024-03-03,Post-Workout,FOOD0038,cucumber,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00000030,MEM000356,2024-07-30,Post-Workout,FOOD0062,peanut butter,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00000031,MEM001846,2024-07-15,Post-Workout,FOOD0036,bell pepper,150.0,37.5,1.5,7.5,0.3,0.8,2.2
